product_name,sector_name,pci,distance,cog,lj
Precious Compounds,Chemicals,2.76707,0.5552377,0.6711839,0.56313777
Esters of other inorganic acids of nonmetals,Chemicals,2.0815382,0.533761,0.75393134,0.549871
Silicones in primary forms,Chemicals,1.7800556,0.56129485,0.8296645,0.5411302
"Articles for utensils, of cermet",Metals,2.1410801,0.5303831,0.7242751,0.5381844
"Microscopes, other than optical",Machinery,2.1680167,0.55025953,0.73455226,0.53193736
Signaling glassware,Stone,1.6534786,0.53817827,0.74513614,0.47787064
Other organo-inorganic compounds,Chemicals,1.841591,0.5659859,0.74098825,0.4760568
Instruments for physical or chemical analysis,Machinery,1.610147,0.51565635,0.7109765,0.4654585
Drafting tables and machines,Machinery,1.734301,0.53886735,0.7122957,0.4630075
X-ray machines,Machinery,1.612814,0.5606856,0.7591537,0.46251148
