zone_id,zone_name,borough,count_2018,count_2025,change
132.0,JFK Airport,Queens,74263.0,294660,220397.0
138.0,LaGuardia Airport,Queens,50006.0,270895,220889.0
61.0,Crown Heights North,Brooklyn,65833.0,197261,131428.0
230.0,Times Sq/Theatre District,Manhattan,56973.0,188888,131915.0
161.0,Midtown Center,Manhattan,88343.0,186941,98598.0
79.0,East Village,Manhattan,81971.0,183450,101479.0
231.0,TriBeCa/Civic Center,Manhattan,69889.0,169545,99656.0
76.0,East New York,Brooklyn,39832.0,166883,127051.0
234.0,Union Sq,Manhattan,79277.0,164366,85089.0
37.0,Bushwick South,Brooklyn,41165.0,163748,122583.0
68.0,East Chelsea,Manhattan,54773.0,157000,102227.0
246.0,West Chelsea/Hudson Yards,Manhattan,61080.0,154156,93076.0
164.0,Midtown South,Manhattan,56985.0,148319,91334.0
7.0,Astoria,Queens,38138.0,143106,104968.0
255.0,Williamsburg (North Side),Brooklyn,46356.0,142059,95703.0
148.0,Lower East Side,Manhattan,57271.0,140206,82935.0
181.0,Park Slope,Brooklyn,45989.0,138980,92991.0
48.0,Clinton East,Manhattan,73614.0,137403,63789.0
112.0,Greenpoint,Brooklyn,30544.0,136392,105848.0
42.0,Central Harlem North,Manhattan,36079.0,135497,99418.0
249.0,West Village,Manhattan,57468.0,135158,77690.0
170.0,Murray Hill,Manhattan,54182.0,133438,79256.0
237.0,Upper East Side South,Manhattan,50227.0,132792,82565.0
17.0,Bedford,Brooklyn,33523.0,127157,93634.0
89.0,Flatbush/Ditmas Park,Brooklyn,36942.0,126348,89406.0
163.0,Midtown North,Manhattan,44054.0,124518,80464.0
256.0,Williamsburg (South Side),Brooklyn,34070.0,123277,89207.0
162.0,Midtown East,Manhattan,49786.0,121781,71995.0
244.0,Washington Heights South,Manhattan,31538.0,121258,89720.0
188.0,Prospect-Lefferts Gardens,Brooklyn,34940.0,121201,86261.0
129.0,Jackson Heights,Queens,27118.0,121173,94055.0
225.0,Stuyvesant Heights,Brooklyn,36747.0,120838,84091.0
36.0,Bushwick North,Brooklyn,31790.0,120482,88692.0
236.0,Upper East Side North,Manhattan,40572.0,118277,77705.0
145.0,Long Island City/Hunters Point,Queens,23159.0,118253,95094.0
130.0,Jamaica,Queens,20145.0,117801,97656.0
39.0,Canarsie,Brooklyn,32758.0,116489,83731.0
82.0,Elmhurst,Queens,26318.0,115076,88758.0
107.0,Gramercy,Manhattan,53054.0,113586,60532.0
80.0,East Williamsburg,Brooklyn,32896.0,107967,75071.0
74.0,East Harlem North,Manhattan,25794.0,107003,81209.0
216.0,South Ozone Park,Queens,16802.0,103300,86498.0
168.0,Mott Haven/Port Morris,Bronx,16731.0,102537,85806.0
95.0,Forest Hills,Queens,22124.0,102256,80132.0
142.0,Lincoln Square East,Manhattan,37865.0,101907,64042.0
144.0,Little Italy/NoLiTa,Manhattan,48198.0,101732,53534.0
90.0,Flatiron,Manhattan,44131.0,101616,57485.0
75.0,East Harlem South,Manhattan,24347.0,100685,76338.0
141.0,Lenox Hill West,Manhattan,34707.0,99091,64384.0
41.0,Central Harlem,Manhattan,27400.0,98480,71080.0
